subject,open,lineno,NOC,PAR,NOO,experience-based,statistics-based,tuning machine
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,27,42,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,28,48,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,31,46,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,32,40,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,62,54,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,65,52,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/reduce_lr_on_plateau.py,94,35,2,8,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/reduce_lr_on_plateau.py,97,38,2,8,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/learning_rate_scheduler_test.py,37,23,1,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/learning_rate_scheduler_test.py,52,23,1,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/learning_rate_scheduler_test.py,69,16,2,3,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/learning_rate_scheduler_test.py,89,16,2,3,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/learning_rate_scheduler_test.py,113,15,2,1,0,0,0
